IP Year,Investment Name,Project Details,Department,Service Area,Investment Type,Capital Cost,Percent Funded,Class Estimate,SPAP Theme,Lifecycle Activity Driver,Neighbourhood,Ward,Location,Funded,Unfunded,Funding Year,Growth Enabling or Supportive,Previously Approved Project Funding,GAHP,Rank,Disposal,Preliminary Capital Cost 10 Year,Preliminary Funded 10 Year,Preliminary Unfunded 10 Year,Preliminary Capital Cost 6 Year,Preliminary Funded 6 Year,Preliminary Unfunded 6 Year
2024,Millennium Library Parkade High Priority Repairs 2024-2027,"The Millennium Library Parkade requires capital repairs to be undertaken between 2024-2027, that if left unattended, could cause an unplanned closure of the parkade. In 2024 detailed design work will be undertaken and construction will take place between 2025-2027. The primary elements being repaired are structural work on the P1 slab to address concrete deterioration, replacing lighting system controls that are obsolete and replacing the air handler unit that is past it's useful life. The repairs are staggered over three years to allow for continued use of the parkade.",Public Works,Parking,Project,14462000,1,5,The Downtown,Renew,South Portage,Fort Rouge - East Fort Garry,POINT (-97.142058 49.891789),675000,0,2024,,,N,1,,,,,,,
2023,Transition to Zero Emission Buses,text,Winnipeg Transit,Public Transit,Program,629575000,1,,Environmental Resilience,Renew,,,,77654000,0,2030,,,,,,,,,,,
2024,Transition to Zero Emission Buses,"This multi-year program is for the transition from diesel to zero emission buses plus the associated charging/fueling infrastructure required to support a full transition to a zero emission fleet. Future bus and infrastructure purchases are planned based on needs, funding, and climate goals.",Winnipeg Transit,Public Transit,Program,0,0,,A Green and Growing City with Sustainable Renewal of Infrastructure,Renew,,,,35000000,56906000,2033,,,N,9,,,,,,,
2024,Water Meter Renewals,"The majority of the City's inventory of water meters are at end of life. Funding in previous years will be used to review current water meter technology, validate the best replacement technology, and develop a plan and class 3 estimate for implementation of a multi-year direct-read water meter replacement program.",Water and Waste,Water,Project,0,1,5,A City that Works for Residents through Improved Customer Service,Renew,,,,14000000,0,2029,,,N,5,,,,,,,
2024,Lift Station Upgrading: Station Rehabilitation,"This is a program for mitigating hydraulic, structural, safety, odour and aesthetic problems, as well as for undertaking capacity assessments for the 75 lift stations and associated force mains, gate chambers, and related works in the sewage collection system.",Water and Waste,Wastewater,Program,0,1,,A Green and Growing City with Sustainable Renewal of Infrastructure,Upgrade,,,,6000000,0,2026,,,N,9,,,,,,,
2024,Permit Licensing and Inspection Management Program,"A DPLI application provides an online platform or software solution that allows users to apply for, manage, and track permits, licenses or inspections issued by relevant authorities, such as government agencies, regulatory bodies, or private organizations. DPLI applications can be used for various purposes, such as parking permits, building permits, environmental permits, event permits, business licenses, and various inspections.",Innovation and Technology,"Dev Approval, Bldg, Permits & Insp",Program,0,0,,A City that Works for Residents through Improved Customer Service,Upgrade,,,,0,2099000,2028,,,N,1,,,,,,,
2024,West End Sewage Treatment Plant (WEWPCC) Facilities Plan,The West End Sewage Treatment Plant (WEWPCC) was upgraded to remove nutrients in 2008. Assets of the sewage treatment plant that were not part of the upgrade are in various stages of condition/life-span.,Water and Waste,Wastewater,Project,0,1,3,A Green and Growing City with Sustainable Renewal of Infrastructure,Renew,,,POINT (-97.33230115 49.83968464),0,0,2025,Growth-enabling infrastructure,,N,15,,,,,,,
2024,Community Centre Investment Fund (CCIF),"Investment to support amalgamation, renewal and upgrade of end of life and/or functionally obsolete community centres.",Community Services,Recreation,Program,50000000,0,,"A Livable, Safe, Healthy, Happy City",Upgrade,,,,0,10000000,2024,,,N,20,,,,,,,
2023,Arlington Bridge Replacement (Tub Girder option),text,Public Works,Bridges - Regional,Project,339700000,0,3,City Building,Renew,Dufferin Industrial,Mynarski,POINT (-97.16028104 49.91439515),0,94300000,2027,,,,,,,,,,,
2023,Water and Waste Department Business Intelligence,text,Water and Waste,Wastewater,Program,8440000,1,,City Building,Upgrade,,,,500000,0,2030,,,,,,,,,,,
2024,Tyndall Park Community Centre Addition,The proposed project involves the development of a full-sized gymnasium addition and related spaces to meet community program needs.,Community Services,Recreation,Project,10272000,0,5,"A Livable, Safe, Healthy, Happy City",Growth,Tyndall Park,Point Douglas,POINT (-97.20351 49.93711),0,0,2024,,,N,7,,10272000,0,10272000,10272000,0,10272000
2023,Southwest Interceptor River Crossing,text,Water and Waste,Wastewater,Project,95000000,1,5,Environmental Resilience,Renew,,,,35000000,0,2027,Growth-enabling infrastructure,,,,,,,,,,
2024,Facility Optimization - Waverley West Station,"With this capital funding the Winnipeg Fire Paramedic Service seeks to maximize the efficiency of the station network. This is achieved through relocations, replacements, and major enhancements to stations that help reduce costs but maintain the desired level of response.",Fire Paramedic Service,Fire & Rescue Response,Project,0,1,4,"A Livable, Safe, Healthy, Happy City",Upgrade,Waverley West B,Waverley West,POINT (-97.18796535 49.79664178),0,0,2031,Growth-supportive infrastructure,,N,4,,,,,,,
2023,Fleet Asset Acquisitions,text,Fleet Management Services,Multiple Organizational Support Services,Program,282132000,1,,Economic Prosperity,Operations & Maintenance,,,,15670000,22249000,2028,,,,,,,,,,,
2024,River Crossings Monitoring and Rehabilitation,"This program is for the condition assessment, rehabilitation and/or replacement of the sewer river crossings, and for the installation of leak detection equipment on the existing waterway crossings. The department has completed a risk assessment of all river crossings in order to determine a prioritization plan for ongoing condition assessment as well as to upgrade and replace any at-risk crossings as required by Environment Licences issued by the Province of Manitoba for the wastewater collection system in the City of Winnipeg. These funds will also be used to install continuous leak detection monitoring equipment at river crossings as required by the Provincial Environmental Licence.",Water and Waste,Wastewater,Program,0,1,,A Green and Growing City with Sustainable Renewal of Infrastructure,Renew,,,,5000000,0,2031,,,N,19,,,,,,,
2023,Water and Waste Department Business Intelligence,text,Water and Waste,Wastewater,Program,8440000,1,,City Building,Upgrade,,,,1800000,0,2023,,,,,,,,,,,
2024,Roof and Building Envelope Systems Refurbishment Program,"This program is for planned roof and building envelope system refurbishment for various buildings in Municipal Accommodations' portfolio with systems at the end of their useful life cycle and that are failing or have failed.  The roofing system is a key structural component of building envelope. It provides stability and integrity to the building structure. Prevents water and moisture from infiltrating into the building and as such protects the building structure, components, systems, furniture, etc. from water damage. Properly functioning roofing system is essential for increasing energy efficiency. A structurally sound roofing system ensures proper ventilation and sufficient insulation and prevents undesired air leaks. Finally, a roofing system free of leaks, sags, moss and algae substantially increases value and longevity of any building asset.",Assets and Project Management,"Dev Approval, Bldg, Permits & Insp",Program,0,0,,"A Livable, Safe, Healthy, Happy City",Renew,,,,0,0,2033,,,N,2,,,,,,,
2024,Work and Asset Management Program,"Work Order and Asset Management (WAM) is used in the delivery of Water and Wastewater services for work planning, management, infrastructure preventative maintenance and renewal programs. Ongoing product updates are required to ensure the WAM system can support the day-to-day operations within the Water and Waste Department.",Innovation and Technology,Wastewater,Program,0,1,,A City that Works for Residents through Improved Customer Service,Renew,,,,1000000,0,2032,,,N,3,,,,,,,
2024,Consolidate Central and North St Boniface Stations,Consolidation of Station 2 (55 Watt St.) and Station 3 (337 Rue DeMeurons) into a single fit-for-purpose station on existing city land.,Fire Paramedic Service,Fire & Rescue Response,Project,0,0,5,"A Livable, Safe, Healthy, Happy City",Renew,Central St. Boniface,St. Boniface,POINT (-97.11060219 49.88512328),0,0,2025,,,N,9,,,,,,,
2023,Community and Neighbourhood Parks,text,Public Works,Parks - Local,Program,50320000,0,,Good Health & Well-Being,Renew,,,,3000000,2242000,2030,,,,,,,,,,,
2024,Traffic Signals Bases Replacements and Bulb Replacements,"This program is to replace traffic signal bases in poor condition and LED bulbs at end of useful life. Traffic signal bases provide the structural foundation for traffic signal poles and cabinets and are crucial for the safe construction and operation of traffic signals. In total, approximately 500 high-risk bases must be replaced. Additionally, LED bulbs that provide for signal illumination are aging and fading, and many require replacement.",Public Works,Roads - Regional,Program,0,1,,"A Livable, Safe, Healthy, Happy City",Renew,,,,1500000,0,2026,,,N,2,,,,,,,
2024,Wastewater Services Facilities Plan,"The Wastewater Services Facilities Plan will evaluate options to consolidate or centralize various buildings used by the Wastewater Services Division, including mechanical and maintenance shops, storage facilities, and offices. These facilities are currently spread out over multiple sites.",Water and Waste,Wastewater,Project,0,1,5,A Green and Growing City with Sustainable Renewal of Infrastructure,Growth,,,,0,0,2025,,,N,10,,,,,,,
2024,Water Treatment Plant Asset Refurbishment and Replacement Program,The Winnipeg Drinking Water Treatment Plant provides treated drinking water to the City of Winnipeg. The continued upkeep and maintenance of the Winnipeg Drinking Water Treatment Plant's assets is required to ensure a continuous supply of water. An asset refurbishment and replacement plan has been developed to address asset lifecycle issues at the water treatment plant as they arise.,Water and Waste,Water,Program,0,1,,A Green and Growing City with Sustainable Renewal of Infrastructure,Renew,,,,0,0,2026,,,N,14,,,,,,,
2024,Community Centre Renovation Grant Program (CCRGP),"Dedicated grant funding for renovation projects at City-owned, board-run community centres in order to maintain and/or improve community centre infrastructure.",Community Services,Recreation,Commitment,0,1,,"A Livable, Safe, Healthy, Happy City",Renew,,,,2000000,0,2029,,,N,21,,,,,,,
2024,Indoor Aquatics and Rec Centres Capital Renewal Program,"The indoor aquatic and recreation centre capital maintenance and renewal program supports capital maintenance repairs, refurbishment, and improvements to 12 indoor aquatic and recreation centres owned and operated by the City of Winnipeg. Projects may include building envelope and structural improvements, improvements to mechanical and electrical systems including heating, ventilation and lighting, accessibility projects, and other interior improvements.",Assets and Project Management,Recreation,Program,0,0,,"A Livable, Safe, Healthy, Happy City",Renew,,,,0,18026000,2028,,,N,13,,,,,,,
